"UNIQUE_ID","DSGN_CYCLE","COMID","SITE_ID"
"NRS_ID-10203","2008-09","23015066","FW08ID019"
"NRS_ID-10204","2008-09","24166584","FW08ID020"
"NRS_ID-10205","2008-09","23532423","FW08ID021"
"NRS_IA-10100","2008-09","17234646","FW08IA083"
"NRS_ID-10055","2008-09","23533481","FW08ID007"
"NRS_ID-10061","2008-09","24177529","FW08ID004"
"NRS_ID-10079","2008-09","23630682","FW08ID003"
"NRS_ID-10089","2008-09","23156470","FW08ID005"
"NRS_ID-10115","2008-09","23284675","FW08ID006"
"NRS_ID-10192","2008-09","23196240","FW08ID008"
"NRS_ID-10194","2008-09","23551198","FW08ID010"
"NRS_ID-10226","2008-09","23560071","FW08ID042"
"NRS_ID-10228","2008-09","23283585","FW08ID044"
"NRS_ID-10229","2008-09","23551058","FW08ID045"
"NRS_ID-10231","2008-09","23003843","FW08ID047"
"NRS_ID-10207","2008-09","23623226","FW08ID023"
"NRS_ID-10208","2008-09","24493982","FW08ID024"
"NRS_ID-10210","2008-09","23540680","FW08ID026"
"NRS_ID-10213","2008-09","24176951","FW08ID029"
"NRS_ID-10216","2008-09","24490994","FW08ID032"
"NRS_ID-10217","2008-09","947060070","FW08ID033"
"NRS_ID-10218","2008-09","4558716","FW08ID034"
"NRS_ID-10220","2008-09","23387311","FW08ID036"
"NRS_ID-10221","2008-09","23478473","FW08ID037"
"NRS_IL-10033","2008-09","13770194","FW08IL007"
"NRS_IL-10034","2008-09","13451574","FW08IL008"
"NRS_IL-10035","2008-09","3601254","FW08IL009"
"NRS_IL-10036","2008-09","13566290","FW08IL010"
"NRS_IL-10037","2008-09","10968697","FW08IL011"
"NRS_IL-10038","2008-09","5092710","FW08IL012"
"NRS_IL-10039","2008-09","6966811","FW08IL013"
"NRS_IL-10043","2008-09","13584484","FW08IL017"
"NRS_IL-10044","2008-09","13438255","FW08IL018"
"NRS_IL-10046","2008-09","13565216","FW08IL020"
"NRS_IL-10047","2008-09","13772620","FW08IL021"
"NRS_IL-10048","2008-09","10607548","FW08IL022"
"NRS_IL-10049","2008-09","10338064","FW08IL023"
"NRS_ID-10232","2008-09","24490808","FW08ID048"
"NRS_ID-10233","2008-09","23503426","FW08ID049"
"NRS_ID-10236","2008-09","23513704","FW08ID053"
"NRS_ID-10237","2008-09","23267350","FW08ID057"
"NRS_ID-10241","2008-09","24159945","FW08ID061"
"NRS_ID-10245","2008-09","22989435","FW08ID071"
"NRS_ID-10249","2008-09","23599209","FW08ID078"
"NRS_ID-10251","2008-09","23532689","FW08ID085"
"NRS_IL-10009","2008-09","6966717","FW08IL005"
"NRS_IL-10012","2008-09","13882602","FW08IL001"
"NRS_IL-10016","2008-09","1837075","FW08IL006"
"NRS_IL-10025","2008-09","13605756","FW08IL004"
"NRS_IL-10050","2008-09","13785746","FW08IL024"
"NRS_IL-10051","2008-09","2930189","FW08IL025"
"NRS_IL-10053","2008-09","14771732","FW08IL027"
"NRS_IL-10054","2008-09","13785708","FW08IL028"
"NRS_IL-10055","2008-09","13608862","FW08IL029"
"NRS_IL-10056","2008-09","13871028","FW08IL030"
"NRS_IL-10057","2008-09","10608888","FW08IL031"
"NRS_IL-10058","2008-09","13552963","FW08IL032"
"NRS_IL-10061","2008-09","13361712","FW08IL035"
"NRS_IL-10062","2008-09","13554837","FW08IL036"
"NRS_IL-10064","2008-09","13426433","FW08IL038"
"NRS_IL-10066","2008-09","10146295","FW08IL040"
"NRS_IL-10030","2008-09","3596702","FW08IL002"
"NRS_IN-10015","2008-09","18461820","FW08IN002"
"NRS_IN-10016","2008-09","3984064","FW08IN003"
"NRS_IN-10021","2008-09","15672757","FW08IN005"
"NRS_IN-10024","2008-09","10286962","FW08IN006"
"NRS_IN-10025","2008-09","18466372","FW08IN007"
"NRS_IN-10026","2008-09","18445592","FW08IN008"
"NRS_IN-10027","2008-09","12262804","FW08IN009"
"NRS_IN-10028","2008-09","18471310","FW08IN010"
"NRS_IN-10029","2008-09","18508612","FW08IN011"
"NRS_IN-10030","2008-09","18449963","FW08IN012"
"NRS_IL-10067","2008-09","2924379","FW08IL041"
"NRS_IL-10068","2008-09","13779346","FW08IL042"
"NRS_IL-10069","2008-09","14785985","FW08IL043"
"NRS_IL-10070","2008-09","5092572","FW08IL044"
"NRS_IL-10071","2008-09","3595876","FW08IL045"
"NRS_IN-10009","2008-09","18498560","FW08IN004"
"NRS_IN-10012","2008-09","20097533","FW08IN001"
"NRS_IN-10037","2008-09","18476809","FW08IN019"
"NRS_IN-10038","2008-09","13437933","FW08IN020"
"NRS_IN-10039","2008-09","18498654","FW08IN021"
"NRS_IN-10040","2008-09","18471076","FW08IN022"
"NRS_IN-10031","2008-09","12265034","FW08IN013"
"NRS_IN-10032","2008-09","10205701","FW08IN014"
"NRS_IN-10033","2008-09","18490834","FW08IN015"
"NRS_IN-10034","2008-09","18439262","FW08IN016"
"NRS_IN-10035","2008-09","18487754","FW08IN017"
"NRS_IN-10036","2008-09","18470758","FW08IN018"
"NRS_KS-10008","2008-09","21012349","FW08KS003"
